Order ID,Product,Quantity Ordered,Price Each,Date,Address,
176558,Samsung USB Type-C to Type-Ce-C,2,12,4/19/2019,"917 1st St, Dallas, TX 75001",
176559,Bose SoundSport Headphones,1,100,4/7/2019,"682 Chestnut St, Boston, MA 02215",
176560,Google Pixel 8 Pro,1,600,4/12/2019,"669 Spruce St, Los Angeles, CA 90001",
176560,Wired Headphones,1,12,4/12/2019,"669 Spruce St, Los Angeles, CA 90001",
176561,Wired Headphones,1,12,4/30/2019,"333 8th St, Los Angeles, CA 90001",
176562,Samsung USB Type-C to Type-Ce-C,1,12,4/29/2019,"381 Wilson St, San Francisco, CA 94016",
176563,Bose SoundSport Headphones,1,100,4/2/2019,"668 Center St, Seattle, WA 98101",
176564,Samsung USB Type-C to Type-Ce-C,1,12,4/12/2019,"790 Ridge St, Atlanta, GA 30301",
176565,MacBook Pro M2,1,1700,4/24/2019,"915 Willow St, San Francisco, CA 94016",
176566,Wired Headphones,1,12,4/8/2019,"83 7th St, Boston, MA 02215",
176567,Google Pixel 8 Pro,1,600,4/18/2019,"444 7th St, Los Angeles, CA 90001",
176568,USB-C to Lightning Cable,1,15,4/15/2019,"438 Elm St, Seattle, WA 98101",
176569,27in 4K Gaming Monitor,1,390,4/16/2019,"657 Hill St, Dallas, TX 75001",
176570,AA Batteries (4-pack),1,4,4/22/2019,"186 12th St, Dallas, TX 75001",
176571,USB-C to Lightning Cable,1,15,4/19/2019,"253 Johnson St, Atlanta, GA 30301",
176572,Anker Soundcore Life 2 Neo,1,150,4/4/2019,"149 Dogwood St, New York City, NY 10001",
176573,Samsung USB Type-C to Type-Ce-C,1,12,4/27/2019,"214 Chestnut St, San Francisco, CA 94016",
176574,Google Pixel 8 Pro,1,600,4/3/2019,"20 Hill St, Los Angeles, CA 90001",
176574,Samsung USB Type-C to Type-Ce-C,1,12,4/3/2019,"20 Hill St, Los Angeles, CA 90001",
176575,AAA Batteries (4-pack),1,3,4/27/2019,"433 Hill St, New York City, NY 10001",
176576,Anker Soundcore Life 2 Neo,1,150,4/28/2019,"771 Ridge St, Los Angeles, CA 90001",
176577,Anker Soundcore Life 2 Neo,1,150,4/4/2019,"260 Spruce St, Dallas, TX 75001",
176578,Anker Soundcore Life 2 Neo,1,150,4/9/2019,"513 Church St, Boston, MA 02215",
176579,AA Batteries (4-pack),1,4,4/11/2019,"886 Jefferson St, New York City, NY 10001",
176580,Samsung USB Type-C to Type-Ce-C,1,12,4/5/2019,"886 Willow St, Los Angeles, CA 90001",
176581,iPhone 14 Pro Max,1,700,4/9/2019,"84 Jackson St, Boston, MA 02215",
176582,Bose SoundSport Headphones,1,100,4/27/2019,"178 Lincoln St, Atlanta, GA 30301",
176583,AAA Batteries (4-pack),2,3,4/20/2019,"146 Jackson St, Portland, OR 97035",
176584,Flatscreen TV,1,300,4/24/2019,"936 Church St, San Francisco, CA 94016",
176585,Bose SoundSport Headphones,1,100,4/7/2019,"823 Highland St, Boston, MA 02215",
176585,Bose SoundSport Headphones,1,100,4/7/2019,"823 Highland St, Boston, MA 02215",
176586,AAA Batteries (4-pack),2,3,4/10/2019,"365 Center St, San Francisco, CA 94016",
176586,Google Pixel 8 Pro,1,600,4/10/2019,"365 Center St, San Francisco, CA 94016",
176587,27in FHD Monitor,1,150,4/29/2019,"557 5th St, Los Angeles, CA 90001",
176588,20in Monitor,1,110,4/2/2019,"765 Cherry St, Seattle, WA 98101",
176589,USB-C to Lightning Cable,1,15,4/4/2019,"846 Highland St, Atlanta, GA 30301",
176590,Google Pixel 8 Pro,1,600,4/11/2019,"873 6th St, New York City, NY 10001",
176591,Anker Soundcore Life 2 Neo,1,150,4/21/2019,"600 Maple St, Austin, TX 73301",
176592,Samsung USB Type-C to Type-Ce-C,1,12,4/27/2019,"352 4th St, Los Angeles, CA 90001",
176593,USB-C to Lightning Cable,2,15,4/15/2019,"906 7th St, Portland, OR 97035",
176594,Wired Headphones,1,12,4/17/2019,"63 Maple St, San Francisco, CA 94016",
176595,Wired Headphones,3,12,4/2/2019,"383 6th St, Los Angeles, CA 90001",
176596,Anker Soundcore Life 2 Neo,1,150,4/27/2019,"572 Meadow St, Dallas, TX 75001",
176597,Samsung USB Type-C to Type-Ce-C,1,12,4/19/2019,"681 11th St, San Francisco, CA 94016",
176598,AAA Batteries (4-pack),2,3,4/21/2019,"294 Park St, San Francisco, CA 94016",
176599,USB-C to Lightning Cable,1,15,4/11/2019,"279 Maple St, New York City, NY 10001",
176600,27in 4K Gaming Monitor,1,390,4/30/2019,"87 West St, Boston, MA 02215",
176601,Samsung USB Type-C to Type-Ce-C,1,12,4/2/2019,"754 10th St, Los Angeles, CA 90001",
176602,USB-C to Lightning Cable,1,15,4/30/2019,"9 Jefferson St, Dallas, TX 75001",
176603,Samsung USB Type-C to Type-Ce-C,1,12,4/1/2019,"858 6th St, San Francisco, CA 94016",
176604,Samsung USB Type-C to Type-Ce-C,1,12,4/2/2019,"462 11th St, San Francisco, CA 94016",
176605,Samsung USB Type-C to Type-Ce-C,1,12,4/15/2019,"717 Pine St, San Francisco, CA 94016",
176606,LG Dryer,1,600,4/21/2019,"487 Maple St, San Francisco, CA 94016",
176607,AAA Batteries (4-pack),2,3,4/18/2019,"689 10th St, Boston, MA 02215",
176608,iPhone 14 Pro Max,1,700,4/11/2019,"15 Cherry St, San Francisco, CA 94016",
176609,Anker Soundcore Life 2 Neo,1,150,4/11/2019,"267 11th St, Austin, TX 73301",
176610,AAA Batteries (4-pack),1,3,4/26/2019,"382 River St, Dallas, TX 75001",
176611,Bose SoundSport Headphones,1,100,4/30/2019,"971 Sunset St, San Francisco, CA 94016",
176612,Anker Soundcore Life 2 Neo,1,150,4/4/2019,"149 North St, Seattle, WA 98101",
176613,Samsung USB Type-C to Type-Ce-C,2,12,4/26/2019,"405 4th St, New York City, NY 10001",
176614,AA Batteries (4-pack),1,4,4/7/2019,"647 Jackson St, San Francisco, CA 94016",
176615,USB-C to Lightning Cable,1,15,4/30/2019,"833 River St, Dallas, TX 75001",
176616,Samsung USB Type-C to Type-Ce-C,1,12,4/5/2019,"380 Washington St, San Francisco, CA 94016",
176617,Anker Soundcore Life 2 Neo,1,150,4/25/2019,"319 8th St, Portland, OR 97035",
176618,USB-C to Lightning Cable,2,15,4/18/2019,"273 South St, San Francisco, CA 94016",
176619,Flatscreen TV,1,300,4/16/2019,"116 North St, Los Angeles, CA 90001",
176620,Samsung USB Type-C to Type-Ce-C,1,12,4/17/2019,"994 Pine St, Los Angeles, CA 90001",
176621,USB-C to Lightning Cable,1,15,4/11/2019,"863 8th St, Boston, MA 02215",
176622,AA Batteries (4-pack),1,4,4/11/2019,"983 11th St, San Francisco, CA 94016",
176623,27in FHD Monitor,1,150,4/20/2019,"807 12th St, Atlanta, GA 30301",
176624,AA Batteries (4-pack),1,4,4/28/2019,"664 Church St, Seattle, WA 98101",
